episode,current_makespan_lower,current_makespan_upper,best_makespan_lower,best_makespan_upper,avg_makespan_lower,avg_makespan_upper,training_time
1,2801.0,3257.0,2801.0,3257.0,2801.0,3257.0,0.38703250885009766
2,2940.0,3393.0,2801.0,3257.0,2870.5,3325.0,6.379431247711182
3,2558.0,2904.0,2558.0,2904.0,2766.3333333333335,3184.6666666666665,12.543285131454468
4,2681.0,3132.0,2558.0,2904.0,2745.0,3171.5,18.64884066581726
5,2997.0,3443.0,2558.0,2904.0,2795.4,3225.8,24.79292321205139
6,2947.0,3387.0,2558.0,2904.0,2820.6666666666665,3252.6666666666665,30.80691647529602
7,2919.0,3344.0,2558.0,2904.0,2834.714285714286,3265.714285714286,36.80891275405884
8,2865.0,3283.0,2558.0,2904.0,2838.5,3267.875,43.21491360664368
9,2906.0,3374.0,2558.0,2904.0,2846.0,3279.6666666666665,49.26474905014038
10,2725.0,3130.0,2558.0,2904.0,2833.9,3264.7,55.42873787879944
11,2621.0,3021.0,2558.0,2904.0,2814.5454545454545,3242.5454545454545,61.55359649658203
12,2807.0,3259.0,2558.0,2904.0,2813.9166666666665,3243.9166666666665,67.8779239654541
13,2826.0,3261.0,2558.0,2904.0,2814.846153846154,3245.230769230769,74.03747057914734
14,3036.0,3476.0,2558.0,2904.0,2830.6428571428573,3261.714285714286,80.2174711227417
15,3009.0,3380.0,2558.0,2904.0,2842.5333333333333,3269.6,86.29246997833252
16,3232.0,3690.0,2558.0,2904.0,2866.875,3295.875,92.33146929740906
17,3238.0,3737.0,2558.0,2904.0,2888.705882352941,3321.823529411765,98.41019034385681
18,3095.0,3569.0,2558.0,2904.0,2900.1666666666665,3335.5555555555557,104.66756105422974
19,3084.0,3597.0,2558.0,2904.0,2909.842105263158,3349.315789473684,110.72408699989319
20,3368.0,3926.0,2558.0,2904.0,2932.75,3378.15,116.71893048286438
21,3031.0,3495.0,2558.0,2904.0,2937.4285714285716,3383.714285714286,122.86546158790588
22,2852.0,3355.0,2558.0,2904.0,2933.5454545454545,3382.409090909091,128.9260675907135
23,2903.0,3387.0,2558.0,2904.0,2932.217391304348,3382.608695652174,134.9429154396057
24,3378.0,3892.0,2558.0,2904.0,2950.7916666666665,3403.8333333333335,141.01490330696106
25,3269.0,3811.0,2558.0,2904.0,2963.52,3420.12,147.08673620224
26,3266.0,3811.0,2558.0,2904.0,2975.153846153846,3435.153846153846,153.17422890663147
27,2996.0,3497.0,2558.0,2904.0,2975.925925925926,3437.4444444444443,159.38564682006836
28,2722.0,3150.0,2558.0,2904.0,2966.8571428571427,3427.1785714285716,165.40780329704285
29,2807.0,3265.0,2558.0,2904.0,2961.344827586207,3421.5862068965516,171.48782896995544
30,3258.0,3734.0,2558.0,2904.0,2971.233333333333,3432.0,177.90783047676086
31,3261.0,3695.0,2558.0,2904.0,2986.5666666666666,3446.6,184.0607237815857
32,3011.0,3473.0,2558.0,2904.0,2988.9333333333334,3449.266666666667,190.16090512275696
33,2980.0,3466.0,2558.0,2904.0,3003.0,3468.0,196.7510871887207
34,3150.0,3660.0,2558.0,2904.0,3018.633333333333,3485.6,202.81708335876465
35,2872.0,3366.0,2558.0,2904.0,3014.4666666666667,3483.0333333333333,208.99708151817322
36,2917.0,3372.0,2558.0,2904.0,3013.4666666666667,3482.5333333333333,215.10008311271667
37,2919.0,3424.0,2558.0,2904.0,3013.4666666666667,3485.2,221.0850818157196
38,3127.0,3617.0,2558.0,2904.0,3022.2,3496.3333333333335,227.21024584770203
39,2997.0,3453.0,2558.0,2904.0,3025.233333333333,3498.9666666666667,234.2787094116211
40,3014.0,3509.0,2558.0,2904.0,3034.866666666667,3511.6,240.3958399295807
41,3190.0,3696.0,2558.0,2904.0,3053.8333333333335,3534.1,246.52080488204956
42,2862.0,3293.0,2558.0,2904.0,3055.6666666666665,3535.233333333333,253.11394143104553
43,2917.0,3359.0,2558.0,2904.0,3058.7,3538.5,259.2036693096161
44,2962.0,3450.0,2558.0,2904.0,3056.233333333333,3537.633333333333,265.2621064186096
45,3244.0,3724.0,2558.0,2904.0,3064.0666666666666,3549.1,271.27935671806335
46,3446.0,3972.0,2558.0,2904.0,3071.2,3558.5,277.2942316532135
47,3062.0,3578.0,2558.0,2904.0,3065.3333333333335,3553.2,283.4335105419159
48,3205.0,3689.0,2558.0,2904.0,3069.0,3557.2,289.4701533317566
49,3190.0,3712.0,2558.0,2904.0,3072.5333333333333,3561.0333333333333,295.50112199783325
50,3088.0,3614.0,2558.0,2904.0,3063.2,3550.633333333333,301.5327560901642
