episode,current_makespan_lower,current_makespan_upper,best_makespan_lower,best_makespan_upper,avg_makespan_lower,avg_makespan_upper,training_time
1,2779.0,3200.0,2779.0,3200.0,2779.0,3200.0,0.5509936809539795
2,2998.0,3496.0,2779.0,3200.0,2888.5,3348.0,7.224956512451172
3,3342.0,3924.0,2779.0,3200.0,3039.6666666666665,3540.0,13.86301851272583
4,6374.0,7426.0,2779.0,3200.0,3873.25,4511.5,20.08896493911743
5,9810.0,11394.0,2779.0,3200.0,5060.6,5888.0,26.506577491760254
6,7000.0,8094.0,2779.0,3200.0,5383.833333333333,6255.666666666667,32.51437187194824
7,4101.0,4741.0,2779.0,3200.0,5200.571428571428,6039.285714285715,38.74940800666809
8,3297.0,3845.0,2779.0,3200.0,4962.625,5765.0,44.981112480163574
9,2847.0,3337.0,2779.0,3200.0,4727.555555555556,5495.222222222223,51.17320275306702
10,2687.0,3109.0,2687.0,3109.0,4523.5,5256.6,57.6653368473053
11,3029.0,3541.0,2687.0,3109.0,4387.636363636364,5100.636363636364,64.78587818145752
12,2819.0,3251.0,2687.0,3109.0,4256.916666666667,4946.5,71.65007305145264
13,2823.0,3348.0,2687.0,3109.0,4146.615384615385,4823.538461538462,78.40243005752563
14,2769.0,3181.0,2687.0,3109.0,4048.214285714286,4706.214285714285,89.55516862869263
15,2692.0,3240.0,2687.0,3109.0,3957.8,4608.466666666666,96.6113109588623
16,2719.0,3185.0,2687.0,3109.0,3880.375,4519.5,105.13999891281128
17,2753.0,3183.0,2687.0,3109.0,3814.0588235294117,4440.882352941177,113.13199520111084
18,2630.0,3044.0,2630.0,3044.0,3748.277777777778,4363.277777777777,125.21140909194946
19,2654.0,3010.0,2654.0,3010.0,3690.684210526316,4292.0526315789475,136.09269952774048
20,2791.0,3247.0,2654.0,3010.0,3645.7,4239.8,142.95530605316162
21,2580.0,3004.0,2580.0,3004.0,3594.9523809523807,4180.952380952381,150.27602314949036
22,2668.0,3124.0,2580.0,3004.0,3552.818181818182,4132.909090909091,156.62822127342224
23,2745.0,3154.0,2580.0,3004.0,3517.695652173913,4090.3478260869565,163.01206374168396
24,2649.0,3075.0,2580.0,3004.0,3481.5,4048.0416666666665,169.3882794380188
25,2840.0,3294.0,2580.0,3004.0,3455.84,4017.88,175.91928577423096
26,2558.0,2940.0,2558.0,2940.0,3421.3076923076924,3976.423076923077,182.33928847312927
27,2681.0,3172.0,2558.0,2940.0,3393.8888888888887,3946.6296296296296,188.7332842350006
28,2922.0,3343.0,2558.0,2940.0,3377.035714285714,3925.0714285714284,194.90740060806274
29,2769.0,3197.0,2558.0,2940.0,3356.0689655172414,3899.9655172413795,201.82440161705017
30,2957.0,3465.0,2558.0,2940.0,3342.766666666667,3885.4666666666667,208.72402906417847
31,2680.0,3105.0,2558.0,2940.0,3339.4666666666667,3882.3,215.66331958770752
32,2739.0,3233.0,2558.0,2940.0,3330.8333333333335,3873.5333333333333,222.16298031806946
33,2962.0,3446.0,2558.0,2940.0,3318.1666666666665,3857.6,229.46240520477295
34,2881.0,3337.0,2558.0,2940.0,3201.733333333333,3721.3,236.42078280448914
35,2887.0,3349.0,2558.0,2940.0,2970.9666666666667,3453.133333333333,242.8189206123352
36,2995.0,3475.0,2558.0,2940.0,2837.4666666666667,3299.1666666666665,248.9475703239441
37,2826.0,3289.0,2558.0,2940.0,2794.9666666666667,3250.766666666667,255.02213430404663
38,3074.0,3615.0,2558.0,2940.0,2787.5333333333333,3243.1,261.5004599094391
39,2663.0,3058.0,2558.0,2940.0,2781.4,3233.8,267.84426522254944
40,2849.0,3331.0,2558.0,2940.0,2786.8,3241.2,273.8589663505554
41,2687.0,3129.0,2558.0,2940.0,2775.4,3227.4666666666667,279.87859630584717
42,2722.0,3189.0,2558.0,2940.0,2772.1666666666665,3225.4,286.0262529850006
43,3082.0,3592.0,2558.0,2940.0,2780.8,3233.5333333333333,292.0997817516327
44,2883.0,3347.0,2558.0,2940.0,2784.6,3239.0666666666666,298.1514456272125
45,2759.0,3273.0,2558.0,2940.0,2786.8333333333335,3240.1666666666665,304.2804448604584
46,2618.0,3090.0,2558.0,2940.0,2783.4666666666667,3237.0,311.7970509529114
47,2866.0,3369.0,2558.0,2940.0,2787.233333333333,3243.2,320.95357942581177
48,2616.0,3061.0,2558.0,2940.0,2786.766666666667,3243.766666666667,329.1747524738312
49,2770.0,3253.0,2558.0,2940.0,2790.633333333333,3251.866666666667,335.6913969516754
50,2985.0,3503.0,2558.0,2940.0,2797.1,3260.4,343.5870578289032
