episode,current_makespan_lower,current_makespan_upper,best_makespan_lower,best_makespan_upper,avg_makespan_lower,avg_makespan_upper,training_time
1,2980.0,3508.0,2980.0,3508.0,2980.0,3508.0,0.4301478862762451
2,2874.0,3388.0,2874.0,3388.0,2927.0,3448.0,8.083687782287598
3,2915.0,3410.0,2874.0,3388.0,2923.0,3435.3333333333335,14.219012975692749
4,2721.0,3207.0,2721.0,3207.0,2872.5,3378.25,20.4662606716156
5,2914.0,3411.0,2721.0,3207.0,2880.8,3384.8,26.717000007629395
6,2728.0,3118.0,2728.0,3118.0,2855.3333333333335,3340.3333333333335,32.847184896469116
7,2691.0,3120.0,2728.0,3118.0,2831.8571428571427,3308.8571428571427,38.899210691452026
8,2768.0,3229.0,2728.0,3118.0,2823.875,3298.875,45.13422465324402
9,2603.0,3077.0,2603.0,3077.0,2799.3333333333335,3274.222222222222,51.18722462654114
10,2624.0,3030.0,2624.0,3030.0,2781.8,3249.8,57.39565587043762
11,2736.0,3218.0,2624.0,3030.0,2777.6363636363635,3246.909090909091,63.69848895072937
12,3000.0,3485.0,2624.0,3030.0,2796.1666666666665,3266.75,69.86542201042175
13,3091.0,3573.0,2624.0,3030.0,2818.846153846154,3290.3076923076924,75.94589972496033
14,3255.0,3789.0,2624.0,3030.0,2850.0,3325.9285714285716,82.04025268554688
15,3029.0,3505.0,2624.0,3030.0,2861.9333333333334,3337.866666666667,88.06525206565857
16,3205.0,3703.0,2624.0,3030.0,2883.375,3360.6875,94.0797028541565
17,3159.0,3695.0,2624.0,3030.0,2899.5882352941176,3380.3529411764707,100.12661981582642
18,3374.0,3896.0,2624.0,3030.0,2925.9444444444443,3409.0,106.2306296825409
19,3434.0,4036.0,2624.0,3030.0,2952.684210526316,3442.0,112.33962559700012
20,3304.0,3811.0,2624.0,3030.0,2970.25,3460.45,118.92662048339844
21,3392.0,3945.0,2624.0,3030.0,2990.3333333333335,3483.5238095238096,125.10563206672668
22,3357.0,3825.0,2624.0,3030.0,3007.0,3499.0454545454545,131.6487476825714
23,3109.0,3623.0,2624.0,3030.0,3011.4347826086955,3504.4347826086955,137.7692756652832
24,2907.0,3424.0,2624.0,3030.0,3007.0833333333335,3501.0833333333335,143.77476000785828
25,3153.0,3692.0,2624.0,3030.0,3012.92,3508.72,149.944354057312
26,3103.0,3606.0,2624.0,3030.0,3016.3846153846152,3512.4615384615386,155.9998197555542
27,3257.0,3793.0,2624.0,3030.0,3025.296296296296,3522.8518518518517,162.09269666671753
28,3194.0,3714.0,2624.0,3030.0,3031.3214285714284,3529.6785714285716,168.1326186656952
29,3409.0,3951.0,2624.0,3030.0,3044.344827586207,3544.206896551724,174.12355613708496
30,3125.0,3655.0,2624.0,3030.0,3047.0333333333333,3547.9,180.26281356811523
31,3207.0,3685.0,2624.0,3030.0,3054.6,3553.8,186.405757188797
32,2996.0,3497.0,2624.0,3030.0,3058.6666666666665,3557.4333333333334,192.75553274154663
33,3179.0,3735.0,2624.0,3030.0,3067.4666666666667,3568.266666666667,198.78406500816345
34,3162.0,3709.0,2624.0,3030.0,3082.1666666666665,3585.0,204.80034160614014
35,3051.0,3542.0,2624.0,3030.0,3086.733333333333,3589.366666666667,210.81730151176453
36,3163.0,3719.0,2624.0,3030.0,3101.233333333333,3609.4,216.83891820907593
37,3287.0,3854.0,2624.0,3030.0,3121.1,3633.866666666667,222.84090662002563
38,3380.0,3908.0,2624.0,3030.0,3141.5,3656.5,228.89911270141602
39,3237.0,3811.0,2624.0,3030.0,3162.633333333333,3680.9666666666667,234.97541618347168
40,3305.0,3823.0,2624.0,3030.0,3185.3333333333335,3707.4,241.1063895225525
41,3413.0,4031.0,2624.0,3030.0,3207.9,3734.5,247.4397258758545
42,3220.0,3770.0,2624.0,3030.0,3215.233333333333,3744.0,253.71849370002747
43,3257.0,3844.0,2624.0,3030.0,3220.766666666667,3753.0333333333333,259.9555594921112
44,3233.0,3781.0,2624.0,3030.0,3220.0333333333333,3752.766666666667,266.05994606018066
45,3124.0,3660.0,2624.0,3030.0,3223.2,3757.9333333333334,272.09081268310547
46,3100.0,3605.0,2624.0,3030.0,3219.7,3754.6666666666665,278.1077263355255
47,3253.0,3805.0,2624.0,3030.0,3222.8333333333335,3758.3333333333335,284.2436797618866
48,3313.0,3853.0,2624.0,3030.0,3220.8,3756.9,290.3278007507324
49,3548.0,4154.0,2624.0,3030.0,3224.6,3760.8333333333335,296.3746871948242
50,3453.0,4025.0,2624.0,3030.0,3229.5666666666666,3767.9666666666667,302.4736967086792
