instance,cls,method,width,eps_bar,rel_width,coverage
int__tai20_15_08,20_15,GP-nowidth,1.0,5.8843,13.7751,1.0000
int__tai20_15_08,20_15,GP-nowidth,1.2,7.4782,,1.0000
int__tai20_15_08,20_15,GP-nowidth,1.4,8.3864,,1.0000
int__tai20_15_08,20_15,GP-rob1,1.0,4.6313,9.0521,1.0000
int__tai20_15_08,20_15,GP-rob1,1.2,5.2164,,1.0000
int__tai20_15_08,20_15,GP-rob1,1.4,6.0363,,1.0000
int__tai20_15_08,20_15,GP-rob1-nw,1.0,6.5550,13.6773,1.0000
int__tai20_15_08,20_15,GP-rob1-nw,1.2,7.4860,,1.0000
int__tai20_15_08,20_15,GP-rob1-nw,1.4,8.8274,,1.0000
int__tai20_15_08,20_15,GP-rob4,1.0,3.6138,7.4349,1.0000
int__tai20_15_08,20_15,GP-rob4,1.2,4.4608,,1.0000
int__tai20_15_08,20_15,GP-rob4,1.4,5.2480,,1.0000
int__tai20_15_09,20_15,GP,1.0,6.7781,12.3241,1.0000
int__tai20_15_09,20_15,GP,1.2,7.9261,,1.0000
int__tai20_15_09,20_15,GP,1.4,8.8855,,1.0000
int__tai20_15_09,20_15,EST,1.0,6.3934,13.5393,1.0000
int__tai20_15_09,20_15,EST,1.2,7.6426,,1.0000
int__tai20_15_09,20_15,EST,1.4,8.6879,,1.0000
int__tai20_15_09,20_15,GT-MWKR,1.0,7.5209,14.5718,1.0000
int__tai20_15_09,20_15,GT-MWKR,1.2,9.4058,,1.0000
int__tai20_15_09,20_15,GT-MWKR,1.4,10.4085,,1.0000
int__tai20_15_09,20_15,GP-nowidth,1.0,6.5684,13.1926,1.0000
int__tai20_15_09,20_15,GP-nowidth,1.2,7.1038,,1.0000
int__tai20_15_09,20_15,GP-nowidth,1.4,8.3537,,1.0000
int__tai20_15_09,20_15,GP-rob1,1.0,5.8340,10.6796,1.0000
int__tai20_15_09,20_15,GP-rob1,1.2,7.1418,,1.0000
int__tai20_15_09,20_15,GP-rob1,1.4,8.6421,,1.0000
int__tai20_15_09,20_15,GP-rob1-nw,1.0,7.4877,12.8800,1.0000
int__tai20_15_09,20_15,GP-rob1-nw,1.2,9.1992,,1.0000
int__tai20_15_09,20_15,GP-rob1-nw,1.4,10.0362,,1.0000
int__tai20_15_09,20_15,GP-rob4,1.0,5.2966,9.9970,1.0000
int__tai20_15_09,20_15,GP-rob4,1.2,6.3856,,1.0000
int__tai20_15_09,20_15,GP-rob4,1.4,7.5178,,1.0000
int__tai20_15_10,20_15,GP,1.0,6.6275,12.5685,1.0000
int__tai20_15_10,20_15,GP,1.2,7.4657,,1.0000
int__tai20_15_10,20_15,GP,1.4,8.2298,,1.0000
int__tai20_15_10,20_15,EST,1.0,7.1285,16.0346,1.0000
int__tai20_15_10,20_15,EST,1.2,8.6210,,1.0000
int__tai20_15_10,20_15,EST,1.4,10.0086,,1.0000
int__tai20_15_10,20_15,GT-MWKR,1.0,7.1304,13.6839,1.0000
int__tai20_15_10,20_15,GT-MWKR,1.2,8.7663,,1.0000
int__tai20_15_10,20_15,GT-MWKR,1.4,10.0523,,1.0000
int__tai20_15_10,20_15,GP-nowidth,1.0,5.3300,11.3065,1.0000
int__tai20_15_10,20_15,GP-nowidth,1.2,6.1429,,1.0000
int__tai20_15_10,20_15,GP-nowidth,1.4,6.9249,,1.0000
int__tai20_15_10,20_15,GP-rob1,1.0,4.1541,9.4058,1.0000
int__tai20_15_10,20_15,GP-rob1,1.2,5.0726,,1.0000
int__tai20_15_10,20_15,GP-rob1,1.4,5.9634,,1.0000
int__tai20_15_10,20_15,GP-rob1-nw,1.0,5.5782,11.6473,1.0000
int__tai20_15_10,20_15,GP-rob1-nw,1.2,6.7302,,1.0000
int__tai20_15_10,20_15,GP-rob1-nw,1.4,7.0823,,1.0000
int__tai20_15_10,20_15,GP-rob4,1.0,5.4325,10.1466,1.0000
int__tai20_15_10,20_15,GP-rob4,1.2,6.5564,,1.0000
int__tai20_15_10,20_15,GP-rob4,1.4,7.4218,,1.0000
int__tai20_20_01,20_20,GP,1.0,5.0820,10.3343,1.0000
int__tai20_20_01,20_20,GP,1.2,5.8056,,1.0000
int__tai20_20_01,20_20,GP,1.4,6.8671,,1.0000
int__tai20_20_01,20_20,EST,1.0,5.1613,12.1406,1.0000
int__tai20_20_01,20_20,EST,1.2,5.9575,,1.0000
int__tai20_20_01,20_20,EST,1.4,6.9831,,1.0000
int__tai20_20_01,20_20,GT-MWKR,1.0,6.9066,14.4114,1.0000
int__tai20_20_01,20_20,GT-MWKR,1.2,7.8386,,1.0000
int__tai20_20_01,20_20,GT-MWKR,1.4,8.9627,,1.0000
int__tai20_20_01,20_20,GP-nowidth,1.0,6.4055,12.6885,1.0000
int__tai20_20_01,20_20,GP-nowidth,1.2,7.1473,,1.0000
int__tai20_20_01,20_20,GP-nowidth,1.4,8.8635,,1.0000
int__tai20_20_01,20_20,GP-rob1,1.0,4.9289,7.9412,1.0000
int__tai20_20_01,20_20,GP-rob1,1.2,6.0891,,1.0000
int__tai20_20_01,20_20,GP-rob1,1.4,6.8740,,1.0000
int__tai20_20_01,20_20,GP-rob1-nw,1.0,4.2827,9.6135,1.0000
int__tai20_20_01,20_20,GP-rob1-nw,1.2,5.1814,,1.0000
int__tai20_20_01,20_20,GP-rob1-nw,1.4,6.4241,,1.0000
int__tai20_20_01,20_20,GP-rob4,1.0,3.3246,6.0716,1.0000
int__tai20_20_01,20_20,GP-rob4,1.2,3.6722,,1.0000
int__tai20_20_01,20_20,GP-rob4,1.4,4.0923,,1.0000
int__tai20_20_02,20_20,GP,1.0,6.8417,13.8571,1.0000
int__tai20_20_02,20_20,GP,1.2,7.6540,,1.0000
int__tai20_20_02,20_20,GP,1.4,8.6816,,1.0000
int__tai20_20_02,20_20,EST,1.0,5.9009,12.8416,1.0000
int__tai20_20_02,20_20,EST,1.2,6.7002,,1.0000
int__tai20_20_02,20_20,EST,1.4,7.6610,,1.0000
int__tai20_20_02,20_20,GT-MWKR,1.0,5.7278,14.0514,1.0000
int__tai20_20_02,20_20,GT-MWKR,1.2,7.4281,,1.0000
int__tai20_20_02,20_20,GT-MWKR,1.4,8.3680,,1.0000
int__tai20_20_02,20_20,GP-nowidth,1.0,5.7020,10.8561,1.0000
int__tai20_20_02,20_20,GP-nowidth,1.2,6.5887,,1.0000
int__tai20_20_02,20_20,GP-nowidth,1.4,7.2929,,1.0000
int__tai20_20_02,20_20,GP-rob1,1.0,5.1352,9.4312,1.0000
int__tai20_20_02,20_20,GP-rob1,1.2,5.6770,,1.0000
int__tai20_20_02,20_20,GP-rob1,1.4,6.7163,,1.0000
int__tai20_20_02,20_20,GP-rob1-nw,1.0,5.7306,11.6081,1.0000
int__tai20_20_02,20_20,GP-rob1-nw,1.2,7.2394,,1.0000
int__tai20_20_02,20_20,GP-rob1-nw,1.4,7.6878,,1.0000
int__tai20_20_02,20_20,GP-rob4,1.0,5.1254,11.3335,1.0000
int__tai20_20_02,20_20,GP-rob4,1.2,5.9700,,1.0000
int__tai20_20_02,20_20,GP-rob4,1.4,7.1980,,1.0000
int__tai20_20_03,20_20,GP,1.0,4.5463,8.5594,1.0000
int__tai20_20_03,20_20,GP,1.2,5.2249,,1.0000
int__tai20_20_03,20_20,GP,1.4,6.3802,,1.0000
int__tai20_20_03,20_20,EST,1.0,5.8676,12.3616,1.0000
int__tai20_20_03,20_20,EST,1.2,7.3465,,1.0000
int__tai20_20_03,20_20,EST,1.4,8.5686,,1.0000
int__tai20_20_03,20_20,GT-MWKR,1.0,6.4871,11.1977,1.0000
int__tai20_20_03,20_20,GT-MWKR,1.2,7.5150,,1.0000
int__tai20_20_03,20_20,GT-MWKR,1.4,8.6272,,1.0000
int__tai20_20_03,20_20,GP-nowidth,1.0,4.8052,10.4324,1.0000
int__tai20_20_03,20_20,GP-nowidth,1.2,5.8993,,1.0000
int__tai20_20_03,20_20,GP-nowidth,1.4,6.4755,,1.0000
int__tai20_20_03,20_20,GP-rob1,1.0,4.0138,8.5353,1.0000
int__tai20_20_03,20_20,GP-rob1,1.2,4.8194,,1.0000
int__tai20_20_03,20_20,GP-rob1,1.4,5.2281,,1.0000
int__tai20_20_03,20_20,GP-rob1-nw,1.0,4.5018,9.1156,1.0000
int__tai20_20_03,20_20,GP-rob1-nw,1.2,5.2212,,1.0000
int__tai20_20_03,20_20,GP-rob1-nw,1.4,6.3991,,1.0000
int__tai20_20_03,20_20,GP-rob4,1.0,4.3842,8.4758,1.0000
int__tai20_20_03,20_20,GP-rob4,1.2,5.1729,,1.0000
int__tai20_20_03,20_20,GP-rob4,1.4,5.7642,,1.0000
int__tai20_20_04,20_20,GP,1.0,6.6183,12.6933,1.0000
int__tai20_20_04,20_20,GP,1.2,7.7276,,1.0000
int__tai20_20_04,20_20,GP,1.4,8.7046,,1.0000
int__tai20_20_04,20_20,EST,1.0,6.1595,12.5341,1.0000
int__tai20_20_04,20_20,EST,1.2,7.3167,,1.0000
int__tai20_20_04,20_20,EST,1.4,8.9947,,1.0000
int__tai20_20_04,20_20,GT-MWKR,1.0,6.6680,13.9558,1.0000
int__tai20_20_04,20_20,GT-MWKR,1.2,7.9621,,1.0000
int__tai20_20_04,20_20,GT-MWKR,1.4,9.0486,,1.0000
int__tai20_20_04,20_20,GP-nowidth,1.0,5.0285,11.2406,1.0000
int__tai20_20_04,20_20,GP-nowidth,1.2,6.0967,,1.0000
int__tai20_20_04,20_20,GP-nowidth,1.4,6.8068,,1.0000
int__tai20_20_04,20_20,GP-rob1,1.0,4.2243,8.2972,1.0000
int__tai20_20_04,20_20,GP-rob1,1.2,5.0270,,1.0000
int__tai20_20_04,20_20,GP-rob1,1.4,5.5254,,1.0000
int__tai20_20_04,20_20,GP-rob1-nw,1.0,6.1763,13.0412,1.0000
int__tai20_20_04,20_20,GP-rob1-nw,1.2,7.1393,,1.0000
int__tai20_20_04,20_20,GP-rob1-nw,1.4,8.4591,,1.0000
int__tai20_20_04,20_20,GP-rob4,1.0,4.1651,8.6507,1.0000
int__tai20_20_04,20_20,GP-rob4,1.2,5.4108,,1.0000
int__tai20_20_04,20_20,GP-rob4,1.4,6.2076,,1.0000
int__tai20_20_05,20_20,GP,1.0,5.2285,11.9978,1.0000
int__tai20_20_05,20_20,GP,1.2,6.3039,,1.0000
int__tai20_20_05,20_20,GP,1.4,7.5939,,1.0000
int__tai20_20_05,20_20,EST,1.0,6.4374,13.1220,1.0000
int__tai20_20_05,20_20,EST,1.2,7.5677,,1.0000
int__tai20_20_05,20_20,EST,1.4,9.5829,,1.0000
int__tai20_20_05,20_20,GT-MWKR,1.0,6.2387,12.1823,1.0000
int__tai20_20_05,20_20,GT-MWKR,1.2,7.6434,,1.0000
int__tai20_20_05,20_20,GT-MWKR,1.4,8.4342,,1.0000
int__tai20_20_05,20_20,GP-nowidth,1.0,6.7199,12.3228,1.0000
int__tai20_20_05,20_20,GP-nowidth,1.2,8.4576,,1.0000
int__tai20_20_05,20_20,GP-nowidth,1.4,9.7102,,1.0000
int__tai20_20_05,20_20,GP-rob1,1.0,4.8541,9.1329,1.0000
int__tai20_20_05,20_20,GP-rob1,1.2,5.8260,,1.0000
int__tai20_20_05,20_20,GP-rob1,1.4,6.9375,,1.0000
int__tai20_20_05,20_20,GP-rob1-nw,1.0,5.4045,11.9967,1.0000
int__tai20_20_05,20_20,GP-rob1-nw,1.2,6.1638,,1.0000
int__tai20_20_05,20_20,GP-rob1-nw,1.4,7.1234,,1.0000
int__tai20_20_05,20_20,GP-rob4,1.0,4.2072,9.4241,1.0000
int__tai20_20_05,20_20,GP-rob4,1.2,5.0911,,1.0000
int__tai20_20_05,20_20,GP-rob4,1.4,6.0230,,1.0000
int__tai20_20_06,20_20,GP,1.0,5.4469,11.1937,1.0000
int__tai20_20_06,20_20,GP,1.2,6.4753,,1.0000
int__tai20_20_06,20_20,GP,1.4,7.5865,,1.0000
int__tai20_20_06,20_20,EST,1.0,5.8067,12.0599,1.0000
int__tai20_20_06,20_20,EST,1.2,6.8764,,1.0000
int__tai20_20_06,20_20,EST,1.4,7.6559,,1.0000
int__tai20_20_06,20_20,GT-MWKR,1.0,5.8624,11.2123,1.0000
int__tai20_20_06,20_20,GT-MWKR,1.2,7.4997,,1.0000
int__tai20_20_06,20_20,GT-MWKR,1.4,8.6255,,1.0000
int__tai20_20_06,20_20,GP-nowidth,1.0,5.6848,10.5040,1.0000
int__tai20_20_06,20_20,GP-nowidth,1.2,6.8505,,1.0000
int__tai20_20_06,20_20,GP-nowidth,1.4,8.3261,,1.0000
int__tai20_20_06,20_20,GP-rob1,1.0,4.9283,8.6059,1.0000
int__tai20_20_06,20_20,GP-rob1,1.2,5.3803,,1.0000
int__tai20_20_06,20_20,GP-rob1,1.4,5.7255,,1.0000
int__tai20_20_06,20_20,GP-rob1-nw,1.0,5.9586,12.6449,1.0000
int__tai20_20_06,20_20,GP-rob1-nw,1.2,6.7147,,1.0000
int__tai20_20_06,20_20,GP-rob1-nw,1.4,7.1184,,1.0000
int__tai20_20_06,20_20,GP-rob4,1.0,5.4409,9.8490,1.0000
int__tai20_20_06,20_20,GP-rob4,1.2,6.6399,,1.0000
int__tai20_20_06,20_20,GP-rob4,1.4,7.3783,,1.0000
int__tai20_20_07,20_20,GP,1.0,4.0006,9.5713,1.0000
int__tai20_20_07,20_20,GP,1.2,4.8547,,1.0000
int__tai20_20_07,20_20,GP,1.4,5.7307,,1.0000
int__tai20_20_07,20_20,EST,1.0,4.8788,11.8264,1.0000
int__tai20_20_07,20_20,EST,1.2,5.9115,,1.0000
int__tai20_20_07,20_20,EST,1.4,6.8228,,1.0000
int__tai20_20_07,20_20,GT-MWKR,1.0,5.7206,12.8406,1.0000
int__tai20_20_07,20_20,GT-MWKR,1.2,6.7895,,1.0000
int__tai20_20_07,20_20,GT-MWKR,1.4,7.9589,,1.0000
int__tai20_20_07,20_20,GP-nowidth,1.0,5.2009,9.9823,1.0000
int__tai20_20_07,20_20,GP-nowidth,1.2,5.5795,,1.0000
int__tai20_20_07,20_20,GP-nowidth,1.4,6.6879,,1.0000
int__tai20_20_07,20_20,GP-rob1,1.0,4.2816,8.6338,1.0000
int__tai20_20_07,20_20,GP-rob1,1.2,4.7034,,1.0000
int__tai20_20_07,20_20,GP-rob1,1.4,5.3785,,1.0000
int__tai20_20_07,20_20,GP-rob1-nw,1.0,4.7009,9.7832,1.0000
int__tai20_20_07,20_20,GP-rob1-nw,1.2,5.0847,,1.0000
int__tai20_20_07,20_20,GP-rob1-nw,1.4,5.8318,,1.0000
int__tai20_20_07,20_20,GP-rob4,1.0,3.7884,6.5973,1.0000
int__tai20_20_07,20_20,GP-rob4,1.2,4.7047,,1.0000
int__tai20_20_07,20_20,GP-rob4,1.4,5.5790,,1.0000
int__tai20_20_08,20_20,GP,1.0,5.0639,10.9878,1.0000
int__tai20_20_08,20_20,GP,1.2,5.4757,,1.0000
int__tai20_20_08,20_20,GP,1.4,6.1291,,1.0000
int__tai20_20_08,20_20,EST,1.0,7.2704,13.6312,1.0000
int__tai20_20_08,20_20,EST,1.2,8.8486,,1.0000
int__tai20_20_08,20_20,EST,1.4,9.5851,,1.0000
int__tai20_20_08,20_20,GT-MWKR,1.0,7.1662,12.7953,1.0000
int__tai20_20_08,20_20,GT-MWKR,1.2,7.9678,,1.0000
int__tai20_20_08,20_20,GT-MWKR,1.4,9.0134,,1.0000
int__tai20_20_08,20_20,GP-nowidth,1.0,6.2723,12.9171,1.0000
int__tai20_20_08,20_20,GP-nowidth,1.2,7.3046,,1.0000
int__tai20_20_08,20_20,GP-nowidth,1.4,8.8222,,1.0000
int__tai20_20_08,20_20,GP-rob1,1.0,3.9411,7.1571,1.0000
int__tai20_20_08,20_20,GP-rob1,1.2,4.5117,,1.0000
int__tai20_20_08,20_20,GP-rob1,1.4,4.9519,,1.0000
int__tai20_20_08,20_20,GP-rob1-nw,1.0,5.2216,11.9061,1.0000
int__tai20_20_08,20_20,GP-rob1-nw,1.2,6.2424,,1.0000
int__tai20_20_08,20_20,GP-rob1-nw,1.4,7.2706,,1.0000
int__tai20_20_08,20_20,GP-rob4,1.0,4.4502,7.7091,1.0000
int__tai20_20_08,20_20,GP-rob4,1.2,4.8161,,1.0000
int__tai20_20_08,20_20,GP-rob4,1.4,5.2271,,1.0000
int__tai20_20_09,20_20,GP,1.0,5.6389,9.5392,1.0000
int__tai20_20_09,20_20,GP,1.2,6.3147,,1.0000
int__tai20_20_09,20_20,GP,1.4,7.6001,,1.0000
int__tai20_20_09,20_20,EST,1.0,6.3924,14.0721,1.0000
int__tai20_20_09,20_20,EST,1.2,8.5862,,1.0000
int__tai20_20_09,20_20,EST,1.4,9.3767,,1.0000
int__tai20_20_09,20_20,GT-MWKR,1.0,6.3528,12.8739,1.0000
int__tai20_20_09,20_20,GT-MWKR,1.2,7.4663,,1.0000
int__tai20_20_09,20_20,GT-MWKR,1.4,8.4216,,1.0000
int__tai20_20_09,20_20,GP-nowidth,1.0,5.7441,10.7338,1.0000
int__tai20_20_09,20_20,GP-nowidth,1.2,6.3740,,1.0000
int__tai20_20_09,20_20,GP-nowidth,1.4,7.6188,,1.0000
int__tai20_20_09,20_20,GP-rob1,1.0,3.8299,7.4180,1.0000
int__tai20_20_09,20_20,GP-rob1,1.2,4.5318,,1.0000
int__tai20_20_09,20_20,GP-rob1,1.4,5.2726,,1.0000
int__tai20_20_09,20_20,GP-rob1-nw,1.0,4.6522,10.6109,1.0000
int__tai20_20_09,20_20,GP-rob1-nw,1.2,5.6263,,1.0000
int__tai20_20_09,20_20,GP-rob1-nw,1.4,6.6108,,1.0000
int__tai20_20_09,20_20,GP-rob4,1.0,3.9237,7.8259,1.0000
int__tai20_20_09,20_20,GP-rob4,1.2,4.4740,,1.0000
int__tai20_20_09,20_20,GP-rob4,1.4,5.0163,,1.0000
int__tai20_20_10,20_20,GP,1.0,6.8312,10.7972,1.0000
int__tai20_20_10,20_20,GP,1.2,8.0144,,1.0000
int__tai20_20_10,20_20,GP,1.4,8.8035,,1.0000
int__tai20_20_10,20_20,EST,1.0,6.7808,12.8261,1.0000
int__tai20_20_10,20_20,EST,1.2,8.1468,,1.0000
int__tai20_20_10,20_20,EST,1.4,9.3136,,1.0000
int__tai20_20_10,20_20,GT-MWKR,1.0,6.5158,12.8846,1.0000
int__tai20_20_10,20_20,GT-MWKR,1.2,8.2801,,1.0000
int__tai20_20_10,20_20,GT-MWKR,1.4,9.0688,,1.0000
int__tai20_20_10,20_20,GP-nowidth,1.0,5.9202,11.9621,1.0000
int__tai20_20_10,20_20,GP-nowidth,1.2,7.3883,,1.0000
int__tai20_20_10,20_20,GP-nowidth,1.4,8.1665,,1.0000
int__tai20_20_10,20_20,GP-rob1,1.0,3.9185,7.5210,1.0000
int__tai20_20_10,20_20,GP-rob1,1.2,4.8226,,1.0000
int__tai20_20_10,20_20,GP-rob1,1.4,5.6983,,1.0000
int__tai20_20_10,20_20,GP-rob1-nw,1.0,5.1440,10.1433,1.0000
int__tai20_20_10,20_20,GP-rob1-nw,1.2,5.5184,,1.0000
int__tai20_20_10,20_20,GP-rob1-nw,1.4,5.8537,,1.0000
int__tai20_20_10,20_20,GP-rob4,1.0,3.4866,6.7089,1.0000
int__tai20_20_10,20_20,GP-rob4,1.2,4.5115,,1.0000
int__tai20_20_10,20_20,GP-rob4,1.4,5.2179,,1.0000
int__tai30_15_01,30_15,GP,1.0,5.4164,11.5236,1.0000
int__tai30_15_01,30_15,GP,1.2,6.4386,,1.0000
int__tai30_15_01,30_15,GP,1.4,7.1142,,1.0000
int__tai30_15_01,30_15,EST,1.0,6.6971,13.4432,1.0000
int__tai30_15_01,30_15,EST,1.2,8.8850,,1.0000
int__tai30_15_01,30_15,EST,1.4,10.6162,,1.0000
int__tai30_15_01,30_15,GT-MWKR,1.0,5.3965,12.3998,1.0000
int__tai30_15_01,30_15,GT-MWKR,1.2,6.5108,,1.0000
int__tai30_15_01,30_15,GT-MWKR,1.4,7.5756,,1.0000
int__tai30_15_01,30_15,GP-nowidth,1.0,5.6417,12.1864,1.0000
int__tai30_15_01,30_15,GP-nowidth,1.2,6.2433,,1.0000
int__tai30_15_01,30_15,GP-nowidth,1.4,7.0606,,1.0000
int__tai30_15_01,30_15,GP-rob1,1.0,3.8840,8.6275,1.0000
int__tai30_15_01,30_15,GP-rob1,1.2,4.2133,,1.0000
int__tai30_15_01,30_15,GP-rob1,1.4,4.8781,,1.0000
int__tai30_15_01,30_15,GP-rob1-nw,1.0,4.9513,10.6616,1.0000
int__tai30_15_01,30_15,GP-rob1-nw,1.2,5.7924,,1.0000
int__tai30_15_01,30_15,GP-rob1-nw,1.4,6.6850,,1.0000
int__tai30_15_01,30_15,GP-rob4,1.0,3.3592,6.4431,1.0000
int__tai30_15_01,30_15,GP-rob4,1.2,3.8848,,1.0000
int__tai30_15_01,30_15,GP-rob4,1.4,4.3112,,1.0000
int__tai30_15_02,30_15,GP,1.0,6.4764,13.7882,1.0000
int__tai30_15_02,30_15,GP,1.2,7.8879,,1.0000
int__tai30_15_02,30_15,GP,1.4,10.0425,,1.0000
int__tai30_15_02,30_15,EST,1.0,5.8042,14.3393,1.0000
int__tai30_15_02,30_15,EST,1.2,6.6862,,1.0000
int__tai30_15_02,30_15,EST,1.4,7.4932,,1.0000
int__tai30_15_02,30_15,GT-MWKR,1.0,5.0827,13.2826,1.0000
int__tai30_15_02,30_15,GT-MWKR,1.2,5.9876,,1.0000
int__tai30_15_02,30_15,GT-MWKR,1.4,7.3867,,1.0000
int__tai30_15_02,30_15,GP-nowidth,1.0,5.0872,11.0586,1.0000
int__tai30_15_02,30_15,GP-nowidth,1.2,5.6724,,1.0000
int__tai30_15_02,30_15,GP-nowidth,1.4,6.4209,,1.0000
int__tai30_15_02,30_15,GP-rob1,1.0,3.6575,9.0629,1.0000
int__tai30_15_02,30_15,GP-rob1,1.2,4.4020,,1.0000
int__tai30_15_02,30_15,GP-rob1,1.4,4.9398,,1.0000
int__tai30_15_02,30_15,GP-rob1-nw,1.0,5.3740,13.4911,1.0000
int__tai30_15_02,30_15,GP-rob1-nw,1.2,6.1904,,1.0000
int__tai30_15_02,30_15,GP-rob1-nw,1.4,6.7291,,1.0000
int__tai30_15_02,30_15,GP-rob4,1.0,3.4221,7.2766,1.0000
int__tai30_15_02,30_15,GP-rob4,1.2,4.0555,,1.0000
int__tai30_15_02,30_15,GP-rob4,1.4,4.8784,,1.0000
int__tai30_15_03,30_15,GP,1.0,4.8122,9.6951,1.0000
int__tai30_15_03,30_15,GP,1.2,5.3966,,1.0000
int__tai30_15_03,30_15,GP,1.4,6.1913,,1.0000
int__tai30_15_03,30_15,EST,1.0,5.6397,14.9353,1.0000
int__tai30_15_03,30_15,EST,1.2,6.2773,,1.0000
int__tai30_15_03,30_15,EST,1.4,7.5129,,1.0000
int__tai30_15_03,30_15,GT-MWKR,1.0,9.8592,15.6846,1.0000
int__tai30_15_03,30_15,GT-MWKR,1.2,11.6746,,1.0000
int__tai30_15_03,30_15,GT-MWKR,1.4,12.9116,,1.0000
int__tai30_15_03,30_15,GP-nowidth,1.0,6.4585,15.0112,1.0000
int__tai30_15_03,30_15,GP-nowidth,1.2,8.0285,,1.0000
int__tai30_15_03,30_15,GP-nowidth,1.4,9.0295,,1.0000
int__tai30_15_03,30_15,GP-rob1,1.0,5.9497,10.8783,1.0000
int__tai30_15_03,30_15,GP-rob1,1.2,7.2149,,1.0000
int__tai30_15_03,30_15,GP-rob1,1.4,7.9826,,1.0000
int__tai30_15_03,30_15,GP-rob1-nw,1.0,4.6723,10.7461,1.0000
int__tai30_15_03,30_15,GP-rob1-nw,1.2,5.3347,,1.0000
int__tai30_15_03,30_15,GP-rob1-nw,1.4,6.6666,,1.0000
int__tai30_15_03,30_15,GP-rob4,1.0,3.6157,8.7287,1.0000
int__tai30_15_03,30_15,GP-rob4,1.2,4.1575,,1.0000
int__tai30_15_03,30_15,GP-rob4,1.4,4.8982,,1.0000
int__tai30_15_04,30_15,GP,1.0,4.2095,10.3831,1.0000
int__tai30_15_04,30_15,GP,1.2,4.8746,,1.0000
int__tai30_15_04,30_15,GP,1.4,5.3364,,1.0000
int__tai30_15_04,30_15,EST,1.0,6.6604,13.6884,1.0000
int__tai30_15_04,30_15,EST,1.2,8.3980,,1.0000
int__tai30_15_04,30_15,EST,1.4,9.8989,,1.0000
int__tai30_15_04,30_15,GT-MWKR,1.0,6.2304,13.0787,1.0000
int__tai30_15_04,30_15,GT-MWKR,1.2,6.8501,,1.0000
int__tai30_15_04,30_15,GT-MWKR,1.4,7.8947,,1.0000
int__tai30_15_04,30_15,GP-nowidth,1.0,4.6289,11.9452,1.0000
int__tai30_15_04,30_15,GP-nowidth,1.2,6.0712,,1.0000
int__tai30_15_04,30_15,GP-nowidth,1.4,6.7795,,1.0000
int__tai30_15_04,30_15,GP-rob1,1.0,4.8587,8.9643,1.0000
int__tai30_15_04,30_15,GP-rob1,1.2,5.9377,,1.0000
int__tai30_15_04,30_15,GP-rob1,1.4,6.7158,,1.0000
int__tai30_15_04,30_15,GP-rob1-nw,1.0,4.5789,11.3529,1.0000
int__tai30_15_04,30_15,GP-rob1-nw,1.2,5.5168,,1.0000
int__tai30_15_04,30_15,GP-rob1-nw,1.4,6.1502,,1.0000
int__tai30_15_04,30_15,GP-rob4,1.0,3.3934,8.0443,1.0000
int__tai30_15_04,30_15,GP-rob4,1.2,4.1661,,1.0000
int__tai30_15_04,30_15,GP-rob4,1.4,4.6344,,1.0000
int__tai30_15_05,30_15,GP,1.0,6.6627,12.4569,1.0000
int__tai30_15_05,30_15,GP,1.2,7.5108,,1.0000
int__tai30_15_05,30_15,GP,1.4,8.2748,,1.0000
int__tai30_15_05,30_15,EST,1.0,4.9915,13.4251,1.0000
int__tai30_15_05,30_15,EST,1.2,5.8503,,1.0000
int__tai30_15_05,30_15,EST,1.4,6.7258,,1.0000
int__tai30_15_05,30_15,GT-MWKR,1.0,7.2232,15.2981,1.0000
int__tai30_15_05,30_15,GT-MWKR,1.2,7.9592,,1.0000
int__tai30_15_05,30_15,GT-MWKR,1.4,9.6479,,1.0000
int__tai30_15_05,30_15,GP-nowidth,1.0,5.7464,12.0172,1.0000
int__tai30_15_05,30_15,GP-nowidth,1.2,6.3705,,1.0000
int__tai30_15_05,30_15,GP-nowidth,1.4,7.2779,,1.0000
int__tai30_15_05,30_15,GP-rob1,1.0,3.6070,7.1018,1.0000
int__tai30_15_05,30_15,GP-rob1,1.2,4.2788,,1.0000
int__tai30_15_05,30_15,GP-rob1,1.4,5.4134,,1.0000
int__tai30_15_05,30_15,GP-rob1-nw,1.0,4.4664,10.9811,1.0000
int__tai30_15_05,30_15,GP-rob1-nw,1.2,4.8706,,1.0000
int__tai30_15_05,30_15,GP-rob1-nw,1.4,5.6084,,1.0000
int__tai30_15_05,30_15,GP-rob4,1.0,4.1566,8.8645,1.0000
int__tai30_15_05,30_15,GP-rob4,1.2,4.8843,,1.0000
int__tai30_15_05,30_15,GP-rob4,1.4,5.6227,,1.0000
int__tai30_15_06,30_15,GP,1.0,5.8842,12.5694,1.0000
int__tai30_15_06,30_15,GP,1.2,7.0502,,1.0000
int__tai30_15_06,30_15,GP,1.4,7.8473,,1.0000
int__tai30_15_06,30_15,EST,1.0,6.0308,12.3928,1.0000
int__tai30_15_06,30_15,EST,1.2,7.2813,,1.0000
int__tai30_15_06,30_15,EST,1.4,8.8720,,1.0000
int__tai30_15_06,30_15,GT-MWKR,1.0,6.2109,13.3179,1.0000
int__tai30_15_06,30_15,GT-MWKR,1.2,7.4677,,1.0000
int__tai30_15_06,30_15,GT-MWKR,1.4,8.6736,,1.0000
