instance,cls,method,width,eps_bar,rel_width,coverage
int__tai15_15_04,15_15,GP-rob1,1.0,6.0582,10.0463,1.0000
int__tai15_15_04,15_15,GP-rob1,1.2,6.9194,,1.0000
int__tai15_15_04,15_15,GP-rob1,1.4,7.5490,,1.0000
int__tai15_15_04,15_15,GP-rob1-nw,1.0,7.1672,14.2450,1.0000
int__tai15_15_04,15_15,GP-rob1-nw,1.2,8.3481,,1.0000
int__tai15_15_04,15_15,GP-rob1-nw,1.4,10.4592,,1.0000
int__tai15_15_04,15_15,GP-rob4,1.0,5.3430,9.6774,1.0000
int__tai15_15_04,15_15,GP-rob4,1.2,6.2133,,1.0000
int__tai15_15_04,15_15,GP-rob4,1.4,7.2123,,1.0000
int__tai15_15_05,15_15,GP,1.0,6.0880,11.3960,1.0000
int__tai15_15_05,15_15,GP,1.2,7.0788,,1.0000
int__tai15_15_05,15_15,GP,1.4,8.7037,,1.0000
int__tai15_15_05,15_15,EST,1.0,7.1566,13.8130,1.0000
int__tai15_15_05,15_15,EST,1.2,8.3897,,1.0000
int__tai15_15_05,15_15,EST,1.4,9.8115,,1.0000
int__tai15_15_05,15_15,GT-MWKR,1.0,8.4762,14.3076,1.0000
int__tai15_15_05,15_15,GT-MWKR,1.2,10.0762,,1.0000
int__tai15_15_05,15_15,GT-MWKR,1.4,11.7057,,1.0000
int__tai15_15_05,15_15,GP-nowidth,1.0,7.1268,11.1773,1.0000
int__tai15_15_05,15_15,GP-nowidth,1.2,7.6062,,1.0000
int__tai15_15_05,15_15,GP-nowidth,1.4,8.1390,,1.0000
int__tai15_15_05,15_15,GP-rob1,1.0,5.0688,9.4280,1.0000
int__tai15_15_05,15_15,GP-rob1,1.2,6.1386,,1.0000
int__tai15_15_05,15_15,GP-rob1,1.4,7.0695,,1.0000
int__tai15_15_05,15_15,GP-rob1-nw,1.0,7.0180,10.9453,1.0000
int__tai15_15_05,15_15,GP-rob1-nw,1.2,8.6556,,1.0000
int__tai15_15_05,15_15,GP-rob1-nw,1.4,9.5408,,1.0000
int__tai15_15_05,15_15,GP-rob4,1.0,5.4757,9.7502,1.0000
int__tai15_15_05,15_15,GP-rob4,1.2,6.4581,,1.0000
int__tai15_15_05,15_15,GP-rob4,1.4,7.4994,,1.0000
int__tai15_15_06,15_15,GP,1.0,6.6084,12.9261,1.0000
int__tai15_15_06,15_15,GP,1.2,7.7714,,1.0000
int__tai15_15_06,15_15,GP,1.4,8.3658,,1.0000
int__tai15_15_06,15_15,EST,1.0,8.1367,15.6688,1.0000
int__tai15_15_06,15_15,EST,1.2,9.6104,,1.0000
int__tai15_15_06,15_15,EST,1.4,10.5948,,1.0000
int__tai15_15_06,15_15,GT-MWKR,1.0,7.4544,13.5975,1.0000
int__tai15_15_06,15_15,GT-MWKR,1.2,8.9398,,1.0000
int__tai15_15_06,15_15,GT-MWKR,1.4,10.5024,,1.0000
int__tai15_15_06,15_15,GP-nowidth,1.0,8.9147,15.8464,1.0000
int__tai15_15_06,15_15,GP-nowidth,1.2,10.9902,,1.0000
int__tai15_15_06,15_15,GP-nowidth,1.4,12.1697,,1.0000
int__tai15_15_06,15_15,GP-rob1,1.0,7.2065,13.2714,1.0000
int__tai15_15_06,15_15,GP-rob1,1.2,8.2167,,1.0000
int__tai15_15_06,15_15,GP-rob1,1.4,9.3942,,1.0000
int__tai15_15_06,15_15,GP-rob1-nw,1.0,6.7895,12.2534,1.0000
int__tai15_15_06,15_15,GP-rob1-nw,1.2,7.9297,,1.0000
int__tai15_15_06,15_15,GP-rob1-nw,1.4,8.8733,,1.0000
int__tai15_15_06,15_15,GP-rob4,1.0,7.9290,12.0160,1.0000
int__tai15_15_06,15_15,GP-rob4,1.2,9.2526,,1.0000
int__tai15_15_06,15_15,GP-rob4,1.4,11.0904,,1.0000
int__tai15_15_07,15_15,GP,1.0,9.6505,15.2355,1.0000
int__tai15_15_07,15_15,GP,1.2,10.7721,,1.0000
int__tai15_15_07,15_15,GP,1.4,12.5407,,1.0000
int__tai15_15_07,15_15,EST,1.0,8.2794,15.7107,1.0000
int__tai15_15_07,15_15,EST,1.2,10.2743,,1.0000
int__tai15_15_07,15_15,EST,1.4,11.8385,,1.0000
int__tai15_15_07,15_15,GT-MWKR,1.0,8.6071,16.4189,1.0000
int__tai15_15_07,15_15,GT-MWKR,1.2,10.0512,,1.0000
int__tai15_15_07,15_15,GT-MWKR,1.4,11.7213,,1.0000
int__tai15_15_07,15_15,GP-nowidth,1.0,8.2661,14.8173,1.0000
int__tai15_15_07,15_15,GP-nowidth,1.2,9.5669,,1.0000
int__tai15_15_07,15_15,GP-nowidth,1.4,11.8085,,1.0000
int__tai15_15_07,15_15,GP-rob1,1.0,7.0764,11.2175,1.0000
int__tai15_15_07,15_15,GP-rob1,1.2,8.8889,,1.0000
int__tai15_15_07,15_15,GP-rob1,1.4,10.2515,,1.0000
int__tai15_15_07,15_15,GP-rob1-nw,1.0,8.0008,13.7283,1.0000
int__tai15_15_07,15_15,GP-rob1-nw,1.2,9.3444,,1.0000
int__tai15_15_07,15_15,GP-rob1-nw,1.4,10.6490,,1.0000
int__tai15_15_07,15_15,GP-rob4,1.0,5.7432,8.6035,1.0000
int__tai15_15_07,15_15,GP-rob4,1.2,7.0169,,1.0000
int__tai15_15_07,15_15,GP-rob4,1.4,7.9626,,1.0000
int__tai15_15_08,15_15,GP,1.0,7.7626,14.6691,1.0000
int__tai15_15_08,15_15,GP,1.2,8.6234,,1.0000
int__tai15_15_08,15_15,GP,1.4,9.4692,,1.0000
int__tai15_15_08,15_15,EST,1.0,7.9141,14.2810,1.0000
int__tai15_15_08,15_15,EST,1.2,9.8425,,1.0000
int__tai15_15_08,15_15,EST,1.4,11.0586,,1.0000
int__tai15_15_08,15_15,GT-MWKR,1.0,6.6986,11.4398,1.0000
int__tai15_15_08,15_15,GT-MWKR,1.2,8.2039,,1.0000
int__tai15_15_08,15_15,GT-MWKR,1.4,9.9248,,1.0000
int__tai15_15_08,15_15,GP-nowidth,1.0,9.2061,13.6947,1.0000
int__tai15_15_08,15_15,GP-nowidth,1.2,10.9526,,1.0000
int__tai15_15_08,15_15,GP-nowidth,1.4,12.3414,,1.0000
int__tai15_15_08,15_15,GP-rob1,1.0,6.9413,11.2536,1.0000
int__tai15_15_08,15_15,GP-rob1,1.2,8.1446,,1.0000
int__tai15_15_08,15_15,GP-rob1,1.4,9.4476,,1.0000
int__tai15_15_08,15_15,GP-rob1-nw,1.0,7.1859,13.0186,1.0000
int__tai15_15_08,15_15,GP-rob1-nw,1.2,8.1159,,1.0000
int__tai15_15_08,15_15,GP-rob1-nw,1.4,9.5443,,1.0000
int__tai15_15_08,15_15,GP-rob4,1.0,5.2140,9.6186,1.0000
int__tai15_15_08,15_15,GP-rob4,1.2,6.4382,,1.0000
int__tai15_15_08,15_15,GP-rob4,1.4,7.2435,,1.0000
int__tai15_15_09,15_15,GP,1.0,7.5791,14.3278,1.0000
int__tai15_15_09,15_15,GP,1.2,8.9988,,1.0000
int__tai15_15_09,15_15,GP,1.4,10.2505,,1.0000
int__tai15_15_09,15_15,EST,1.0,6.7917,13.4550,1.0000
int__tai15_15_09,15_15,EST,1.2,7.8441,,1.0000
int__tai15_15_09,15_15,EST,1.4,9.0337,,1.0000
int__tai15_15_09,15_15,GT-MWKR,1.0,9.3624,16.8350,1.0000
int__tai15_15_09,15_15,GT-MWKR,1.2,11.6807,,1.0000
int__tai15_15_09,15_15,GT-MWKR,1.4,13.3688,,1.0000
int__tai15_15_09,15_15,GP-nowidth,1.0,8.5083,14.8074,1.0000
int__tai15_15_09,15_15,GP-nowidth,1.2,10.2229,,1.0000
int__tai15_15_09,15_15,GP-nowidth,1.4,11.7162,,1.0000
int__tai15_15_09,15_15,GP-rob1,1.0,7.4060,13.2124,1.0000
int__tai15_15_09,15_15,GP-rob1,1.2,8.1311,,1.0000
int__tai15_15_09,15_15,GP-rob1,1.4,8.9196,,1.0000
int__tai15_15_09,15_15,GP-rob1-nw,1.0,6.3734,12.6309,1.0000
int__tai15_15_09,15_15,GP-rob1-nw,1.2,7.4728,,1.0000
int__tai15_15_09,15_15,GP-rob1-nw,1.4,8.8920,,1.0000
int__tai15_15_09,15_15,GP-rob4,1.0,7.3734,13.7102,1.0000
int__tai15_15_09,15_15,GP-rob4,1.2,9.0474,,1.0000
int__tai15_15_09,15_15,GP-rob4,1.4,10.4083,,1.0000
int__tai15_15_10,15_15,GP,1.0,6.1822,11.2391,1.0000
int__tai15_15_10,15_15,GP,1.2,6.5670,,1.0000
int__tai15_15_10,15_15,GP,1.4,7.8914,,1.0000
int__tai15_15_10,15_15,EST,1.0,7.8329,13.9371,1.0000
int__tai15_15_10,15_15,EST,1.2,9.0352,,1.0000
int__tai15_15_10,15_15,EST,1.4,10.8598,,1.0000
int__tai15_15_10,15_15,GT-MWKR,1.0,7.3971,14.7855,1.0000
int__tai15_15_10,15_15,GT-MWKR,1.2,9.3503,,1.0000
int__tai15_15_10,15_15,GT-MWKR,1.4,10.5080,,1.0000
int__tai15_15_10,15_15,GP-nowidth,1.0,7.5371,14.1264,1.0000
int__tai15_15_10,15_15,GP-nowidth,1.2,8.8751,,1.0000
int__tai15_15_10,15_15,GP-nowidth,1.4,10.5918,,1.0000
int__tai15_15_10,15_15,GP-rob1,1.0,6.5312,9.6594,1.0000
int__tai15_15_10,15_15,GP-rob1,1.2,7.5491,,1.0000
int__tai15_15_10,15_15,GP-rob1,1.4,8.7604,,1.0000
int__tai15_15_10,15_15,GP-rob1-nw,1.0,6.9216,12.8047,1.0000
int__tai15_15_10,15_15,GP-rob1-nw,1.2,8.4827,,1.0000
int__tai15_15_10,15_15,GP-rob1-nw,1.4,9.5287,,1.0000
int__tai15_15_10,15_15,GP-rob4,1.0,5.5865,9.0515,1.0000
int__tai15_15_10,15_15,GP-rob4,1.2,7.0505,,1.0000
int__tai15_15_10,15_15,GP-rob4,1.4,8.2421,,1.0000
int__tai20_15_01,20_15,GP,1.0,7.0704,15.1145,1.0000
int__tai20_15_01,20_15,GP,1.2,8.6188,,1.0000
int__tai20_15_01,20_15,GP,1.4,10.0478,,1.0000
int__tai20_15_01,20_15,EST,1.0,6.3836,14.4340,1.0000
int__tai20_15_01,20_15,EST,1.2,7.5461,,1.0000
int__tai20_15_01,20_15,EST,1.4,8.6017,,1.0000
int__tai20_15_01,20_15,GT-MWKR,1.0,7.3550,15.1071,1.0000
int__tai20_15_01,20_15,GT-MWKR,1.2,8.5755,,1.0000
int__tai20_15_01,20_15,GT-MWKR,1.4,9.6954,,1.0000
int__tai20_15_01,20_15,GP-nowidth,1.0,7.0294,13.4476,1.0000
int__tai20_15_01,20_15,GP-nowidth,1.2,9.3939,,1.0000
int__tai20_15_01,20_15,GP-nowidth,1.4,10.4333,,1.0000
int__tai20_15_01,20_15,GP-rob1,1.0,4.6631,8.9901,1.0000
int__tai20_15_01,20_15,GP-rob1,1.2,5.6076,,1.0000
int__tai20_15_01,20_15,GP-rob1,1.4,6.1427,,1.0000
int__tai20_15_01,20_15,GP-rob1-nw,1.0,7.3415,12.9552,1.0000
int__tai20_15_01,20_15,GP-rob1-nw,1.2,8.6632,,1.0000
int__tai20_15_01,20_15,GP-rob1-nw,1.4,9.4292,,1.0000
int__tai20_15_01,20_15,GP-rob4,1.0,4.4951,8.7906,1.0000
int__tai20_15_01,20_15,GP-rob4,1.2,5.4573,,1.0000
int__tai20_15_01,20_15,GP-rob4,1.4,6.1256,,1.0000
int__tai20_15_02,20_15,GP,1.0,6.2054,10.6965,1.0000
int__tai20_15_02,20_15,GP,1.2,7.6955,,1.0000
int__tai20_15_02,20_15,GP,1.4,8.8859,,1.0000
int__tai20_15_02,20_15,EST,1.0,7.0052,14.1067,1.0000
int__tai20_15_02,20_15,EST,1.2,8.4260,,1.0000
